草你吗，跟里面的坑一样万恶，可恶的小笼包。哪里的死畜牲大便君人越来越冷漠大家都有老的一天是有因果轮回的宋灵姣夹夹夹生是天生畜生怒天气热了怎么办。。。。能说什么呢。。。。小小丸子童鞋转发微博	“宋灵姣”是一个人名实体
草你吗，跟里面的坑一样万恶，可恶的小笼包。哪里的死畜牲大便君人越来越冷漠大家都有老的一天是有因果轮回的宋灵姣夹夹夹生是天生畜生怒天气热了怎么办。。。。能说什么呢。。。。小小丸子童鞋转发微博	“大”不是一个命名实体
唱的可真好听。。汗汗我在钱柜惠新旗舰店	“钱柜惠新旗舰店”是一个地名实体
唱的可真好听。。汗汗我在钱柜惠新旗舰店	“新旗”不是一个命名实体
新乡的游行活动今天已经开始了，支持，加油！抵制日货！	“新乡”是一个地缘政治实体名实体
新乡的游行活动今天已经开始了，支持，加油！抵制日货！	“日货”不是一个命名实体
不是呼风唤雨的人不是社交蝴蝶不是各项全能只是一个生活在这个世界上的而不单单只是活着的人我的喜怒哀乐告诉自己开开心心就够了我的理智告诉自己为了这份开心要做一些事情青春没有汗水才是被狗吃了没必要学习别人叛逆还笑着说我有过青春	“只”不是一个命名实体
摸枪摸得楞个慢，那个跳窗的多半要挂。冯景瑞这个确实牛逼呀这是俄罗斯的战术专业毕业的张珂铭是火狼帮帮主李园园是小帅哥李思佚心有所属任俊霖吴待桥到底是哪一座桥利村丶超超外号小纯洁强烈要求我校加开这门课程	“冯景瑞”是一个人名实体
摸枪摸得楞个慢，那个跳窗的多半要挂。冯景瑞这个确实牛逼呀这是俄罗斯的战术专业毕业的张珂铭是火狼帮帮主李园园是小帅哥李思佚心有所属任俊霖吴待桥到底是哪一座桥利村丶超超外号小纯洁强烈要求我校加开这门课程	“俄罗斯”是一个地缘政治实体名实体
摸枪摸得楞个慢，那个跳窗的多半要挂。冯景瑞这个确实牛逼呀这是俄罗斯的战术专业毕业的张珂铭是火狼帮帮主李园园是小帅哥李思佚心有所属任俊霖吴待桥到底是哪一座桥利村丶超超外号小纯洁强烈要求我校加开这门课程	“张珂铭”是一个人名实体
摸枪摸得楞个慢，那个跳窗的多半要挂。冯景瑞这个确实牛逼呀这是俄罗斯的战术专业毕业的张珂铭是火狼帮帮主李园园是小帅哥李思佚心有所属任俊霖吴待桥到底是哪一座桥利村丶超超外号小纯洁强烈要求我校加开这门课程	“李园园”是一个人名实体
摸枪摸得楞个慢，那个跳窗的多半要挂。冯景瑞这个确实牛逼呀这是俄罗斯的战术专业毕业的张珂铭是火狼帮帮主李园园是小帅哥李思佚心有所属任俊霖吴待桥到底是哪一座桥利村丶超超外号小纯洁强烈要求我校加开这门课程	“李思佚”是一个人名实体
摸枪摸得楞个慢，那个跳窗的多半要挂。冯景瑞这个确实牛逼呀这是俄罗斯的战术专业毕业的张珂铭是火狼帮帮主李园园是小帅哥李思佚心有所属任俊霖吴待桥到底是哪一座桥利村丶超超外号小纯洁强烈要求我校加开这门课程	“任俊霖”是一个人名实体
摸枪摸得楞个慢，那个跳窗的多半要挂。冯景瑞这个确实牛逼呀这是俄罗斯的战术专业毕业的张珂铭是火狼帮帮主李园园是小帅哥李思佚心有所属任俊霖吴待桥到底是哪一座桥利村丶超超外号小纯洁强烈要求我校加开这门课程	“吴待桥”是一个人名实体
摸枪摸得楞个慢，那个跳窗的多半要挂。冯景瑞这个确实牛逼呀这是俄罗斯的战术专业毕业的张珂铭是火狼帮帮主李园园是小帅哥李思佚心有所属任俊霖吴待桥到底是哪一座桥利村丶超超外号小纯洁强烈要求我校加开这门课程	“得”不是一个命名实体
摸枪摸得楞个慢，那个跳窗的多半要挂。冯景瑞这个确实牛逼呀这是俄罗斯的战术专业毕业的张珂铭是火狼帮帮主李园园是小帅哥李思佚心有所属任俊霖吴待桥到底是哪一座桥利村丶超超外号小纯洁强烈要求我校加开这门课程	“楞”不是一个命名实体
摸枪摸得楞个慢，那个跳窗的多半要挂。冯景瑞这个确实牛逼呀这是俄罗斯的战术专业毕业的张珂铭是火狼帮帮主李园园是小帅哥李思佚心有所属任俊霖吴待桥到底是哪一座桥利村丶超超外号小纯洁强烈要求我校加开这门课程	“跳窗”不是一个命名实体
摸枪摸得楞个慢，那个跳窗的多半要挂。冯景瑞这个确实牛逼呀这是俄罗斯的战术专业毕业的张珂铭是火狼帮帮主李园园是小帅哥李思佚心有所属任俊霖吴待桥到底是哪一座桥利村丶超超外号小纯洁强烈要求我校加开这门课程	“是”不是一个命名实体
摸枪摸得楞个慢，那个跳窗的多半要挂。冯景瑞这个确实牛逼呀这是俄罗斯的战术专业毕业的张珂铭是火狼帮帮主李园园是小帅哥李思佚心有所属任俊霖吴待桥到底是哪一座桥利村丶超超外号小纯洁强烈要求我校加开这门课程	“有所属”不是一个命名实体
摸枪摸得楞个慢，那个跳窗的多半要挂。冯景瑞这个确实牛逼呀这是俄罗斯的战术专业毕业的张珂铭是火狼帮帮主李园园是小帅哥李思佚心有所属任俊霖吴待桥到底是哪一座桥利村丶超超外号小纯洁强烈要求我校加开这门课程	“纯洁”不是一个命名实体
摸枪摸得楞个慢，那个跳窗的多半要挂。冯景瑞这个确实牛逼呀这是俄罗斯的战术专业毕业的张珂铭是火狼帮帮主李园园是小帅哥李思佚心有所属任俊霖吴待桥到底是哪一座桥利村丶超超外号小纯洁强烈要求我校加开这门课程	“强烈”不是一个命名实体
咸阳北发往各县区的长途汽车安全带大部分都坏掉了。上车后让系上安全带。拿起来一看各种无能为力。这个设备损坏还要系安全带。要闹哪样呢？@咸阳交警官方微博@今日咸阳该不该维护维护呢？我在:http://t.cn/zjrdYhe	“咸阳”是一个地名实体
咸阳北发往各县区的长途汽车安全带大部分都坏掉了。上车后让系上安全带。拿起来一看各种无能为力。这个设备损坏还要系安全带。要闹哪样呢？@咸阳交警官方微博@今日咸阳该不该维护维护呢？我在:http://t.cn/zjrdYhe	“咸阳”是一个地名实体
咸阳北发往各县区的长途汽车安全带大部分都坏掉了。上车后让系上安全带。拿起来一看各种无能为力。这个设备损坏还要系安全带。要闹哪样呢？@咸阳交警官方微博@今日咸阳该不该维护维护呢？我在:http://t.cn/zjrdYhe	“咸阳”是一个地缘政治实体名实体
咸阳北发往各县区的长途汽车安全带大部分都坏掉了。上车后让系上安全带。拿起来一看各种无能为力。这个设备损坏还要系安全带。要闹哪样呢？@咸阳交警官方微博@今日咸阳该不该维护维护呢？我在:http://t.cn/zjrdYhe	“呢”不是一个命名实体
咸阳北发往各县区的长途汽车安全带大部分都坏掉了。上车后让系上安全带。拿起来一看各种无能为力。这个设备损坏还要系安全带。要闹哪样呢？@咸阳交警官方微博@今日咸阳该不该维护维护呢？我在:http://t.cn/zjrdYhe	“t.cn”不是一个命名实体
咸阳北发往各县区的长途汽车安全带大部分都坏掉了。上车后让系上安全带。拿起来一看各种无能为力。这个设备损坏还要系安全带。要闹哪样呢？@咸阳交警官方微博@今日咸阳该不该维护维护呢？我在:http://t.cn/zjrdYhe	“zjrdYhe”不是一个命名实体
未必是好东西。谁知道在那里有几个是真正的台湾商户和台湾美食。赵子龙足球京剧与伟州相声不出我所料，好东西到中国就完蛋简单幸福的滕桓八爷乱弹七世	“台湾”是一个地缘政治实体名实体
未必是好东西。谁知道在那里有几个是真正的台湾商户和台湾美食。赵子龙足球京剧与伟州相声不出我所料，好东西到中国就完蛋简单幸福的滕桓八爷乱弹七世	“台湾”是一个地缘政治实体名实体
未必是好东西。谁知道在那里有几个是真正的台湾商户和台湾美食。赵子龙足球京剧与伟州相声不出我所料，好东西到中国就完蛋简单幸福的滕桓八爷乱弹七世	“赵子龙”是一个人名实体
未必是好东西。谁知道在那里有几个是真正的台湾商户和台湾美食。赵子龙足球京剧与伟州相声不出我所料，好东西到中国就完蛋简单幸福的滕桓八爷乱弹七世	“伟州”是一个地缘政治实体名实体
未必是好东西。谁知道在那里有几个是真正的台湾商户和台湾美食。赵子龙足球京剧与伟州相声不出我所料，好东西到中国就完蛋简单幸福的滕桓八爷乱弹七世	“中国”是一个地缘政治实体名实体
未必是好东西。谁知道在那里有几个是真正的台湾商户和台湾美食。赵子龙足球京剧与伟州相声不出我所料，好东西到中国就完蛋简单幸福的滕桓八爷乱弹七世	“知道”不是一个命名实体
未必是好东西。谁知道在那里有几个是真正的台湾商户和台湾美食。赵子龙足球京剧与伟州相声不出我所料，好东西到中国就完蛋简单幸福的滕桓八爷乱弹七世	“个”不是一个命名实体
未必是好东西。谁知道在那里有几个是真正的台湾商户和台湾美食。赵子龙足球京剧与伟州相声不出我所料，好东西到中国就完蛋简单幸福的滕桓八爷乱弹七世	“就”不是一个命名实体
未必是好东西。谁知道在那里有几个是真正的台湾商户和台湾美食。赵子龙足球京剧与伟州相声不出我所料，好东西到中国就完蛋简单幸福的滕桓八爷乱弹七世	“幸福”不是一个命名实体
未必是好东西。谁知道在那里有几个是真正的台湾商户和台湾美食。赵子龙足球京剧与伟州相声不出我所料，好东西到中国就完蛋简单幸福的滕桓八爷乱弹七世	“世”不是一个命名实体
草你吗，跟里面的坑一样万恶，可恶的小笼包。哪里的死畜牲大便君人越来越冷漠大家都有老的一天是有因果轮回的宋灵姣夹夹夹生是天生畜生怒天气热了怎么办。。。。能说什么呢。。。。小小丸子童鞋转发微博	“宋灵姣”是一个人名实体
草你吗，跟里面的坑一样万恶，可恶的小笼包。哪里的死畜牲大便君人越来越冷漠大家都有老的一天是有因果轮回的宋灵姣夹夹夹生是天生畜生怒天气热了怎么办。。。。能说什么呢。。。。小小丸子童鞋转发微博	“小小丸子童鞋”是一个人名实体
草你吗，跟里面的坑一样万恶，可恶的小笼包。哪里的死畜牲大便君人越来越冷漠大家都有老的一天是有因果轮回的宋灵姣夹夹夹生是天生畜生怒天气热了怎么办。。。。能说什么呢。。。。小小丸子童鞋转发微博	“都”不是一个命名实体
草你吗，跟里面的坑一样万恶，可恶的小笼包。哪里的死畜牲大便君人越来越冷漠大家都有老的一天是有因果轮回的宋灵姣夹夹夹生是天生畜生怒天气热了怎么办。。。。能说什么呢。。。。小小丸子童鞋转发微博	“的”不是一个命名实体
我就是激动雯子小菇凉至于嘛，不久赞了你一下嘛转发苦逼青年杨素晗回复雯子小菇凉主要你夸我我太激动了爱你爱你爱你雯子小菇凉回复苦逼青年杨素晗骗你干吗，真心电到了，越来越有范了，以后跟领导你混了阴险	“雯子”是一个人名实体
我就是激动雯子小菇凉至于嘛，不久赞了你一下嘛转发苦逼青年杨素晗回复雯子小菇凉主要你夸我我太激动了爱你爱你爱你雯子小菇凉回复苦逼青年杨素晗骗你干吗，真心电到了，越来越有范了，以后跟领导你混了阴险	“杨素晗”是一个人名实体
我就是激动雯子小菇凉至于嘛，不久赞了你一下嘛转发苦逼青年杨素晗回复雯子小菇凉主要你夸我我太激动了爱你爱你爱你雯子小菇凉回复苦逼青年杨素晗骗你干吗，真心电到了，越来越有范了，以后跟领导你混了阴险	“雯子”是一个人名实体
我就是激动雯子小菇凉至于嘛，不久赞了你一下嘛转发苦逼青年杨素晗回复雯子小菇凉主要你夸我我太激动了爱你爱你爱你雯子小菇凉回复苦逼青年杨素晗骗你干吗，真心电到了，越来越有范了，以后跟领导你混了阴险	“雯子”是一个人名实体
我就是激动雯子小菇凉至于嘛，不久赞了你一下嘛转发苦逼青年杨素晗回复雯子小菇凉主要你夸我我太激动了爱你爱你爱你雯子小菇凉回复苦逼青年杨素晗骗你干吗，真心电到了，越来越有范了，以后跟领导你混了阴险	“杨素晗”是一个人名实体
我就是激动雯子小菇凉至于嘛，不久赞了你一下嘛转发苦逼青年杨素晗回复雯子小菇凉主要你夸我我太激动了爱你爱你爱你雯子小菇凉回复苦逼青年杨素晗骗你干吗，真心电到了，越来越有范了，以后跟领导你混了阴险	“了”不是一个命名实体
我就是激动雯子小菇凉至于嘛，不久赞了你一下嘛转发苦逼青年杨素晗回复雯子小菇凉主要你夸我我太激动了爱你爱你爱你雯子小菇凉回复苦逼青年杨素晗骗你干吗，真心电到了，越来越有范了，以后跟领导你混了阴险	“逼”不是一个命名实体
我就是激动雯子小菇凉至于嘛，不久赞了你一下嘛转发苦逼青年杨素晗回复雯子小菇凉主要你夸我我太激动了爱你爱你爱你雯子小菇凉回复苦逼青年杨素晗骗你干吗，真心电到了，越来越有范了，以后跟领导你混了阴险	“小菇凉”不是一个命名实体
我就是激动雯子小菇凉至于嘛，不久赞了你一下嘛转发苦逼青年杨素晗回复雯子小菇凉主要你夸我我太激动了爱你爱你爱你雯子小菇凉回复苦逼青年杨素晗骗你干吗，真心电到了，越来越有范了，以后跟领导你混了阴险	“逼”不是一个命名实体
我就是激动雯子小菇凉至于嘛，不久赞了你一下嘛转发苦逼青年杨素晗回复雯子小菇凉主要你夸我我太激动了爱你爱你爱你雯子小菇凉回复苦逼青年杨素晗骗你干吗，真心电到了，越来越有范了，以后跟领导你混了阴险	“混”不是一个命名实体
乌克兰当地小镇的爱之隧道，一到春天两旁的树木一片葱绿，架起了一座绿色的“拱桥”	“乌克兰”是一个地缘政治实体名实体
乌克兰当地小镇的爱之隧道，一到春天两旁的树木一片葱绿，架起了一座绿色的“拱桥”	“爱”不是一个命名实体
//@Jao-://@丶梯子:多一个人多一份力量，希望大家能帮忙转发、留意，好人一生平安，邓先生13822658683，跪谢。@创业家杂志@阿狸说到心坎的话@孙雅涵的漫画@简易管理学@创业家杂志@潮音乐@cy-ii@DIY实用手册@教你易经风水术官网@美文故事@几米漫画故事	“邓先生”是一个人名实体
//@Jao-://@丶梯子:多一个人多一份力量，希望大家能帮忙转发、留意，好人一生平安，邓先生13822658683，跪谢。@创业家杂志@阿狸说到心坎的话@孙雅涵的漫画@简易管理学@创业家杂志@潮音乐@cy-ii@DIY实用手册@教你易经风水术官网@美文故事@几米漫画故事	“创业家杂志”是一个组织实体
//@Jao-://@丶梯子:多一个人多一份力量，希望大家能帮忙转发、留意，好人一生平安，邓先生13822658683，跪谢。@创业家杂志@阿狸说到心坎的话@孙雅涵的漫画@简易管理学@创业家杂志@潮音乐@cy-ii@DIY实用手册@教你易经风水术官网@美文故事@几米漫画故事	“阿狸”是一个人名实体
//@Jao-://@丶梯子:多一个人多一份力量，希望大家能帮忙转发、留意，好人一生平安，邓先生13822658683，跪谢。@创业家杂志@阿狸说到心坎的话@孙雅涵的漫画@简易管理学@创业家杂志@潮音乐@cy-ii@DIY实用手册@教你易经风水术官网@美文故事@几米漫画故事	“孙雅涵”是一个人名实体
//@Jao-://@丶梯子:多一个人多一份力量，希望大家能帮忙转发、留意，好人一生平安，邓先生13822658683，跪谢。@创业家杂志@阿狸说到心坎的话@孙雅涵的漫画@简易管理学@创业家杂志@潮音乐@cy-ii@DIY实用手册@教你易经风水术官网@美文故事@几米漫画故事	“创业家杂志”是一个组织实体
//@Jao-://@丶梯子:多一个人多一份力量，希望大家能帮忙转发、留意，好人一生平安，邓先生13822658683，跪谢。@创业家杂志@阿狸说到心坎的话@孙雅涵的漫画@简易管理学@创业家杂志@潮音乐@cy-ii@DIY实用手册@教你易经风水术官网@美文故事@几米漫画故事	“教你易经风水术官网”是一个组织实体
//@Jao-://@丶梯子:多一个人多一份力量，希望大家能帮忙转发、留意，好人一生平安，邓先生13822658683，跪谢。@创业家杂志@阿狸说到心坎的话@孙雅涵的漫画@简易管理学@创业家杂志@潮音乐@cy-ii@DIY实用手册@教你易经风水术官网@美文故事@几米漫画故事	“:”不是一个命名实体
//@Jao-://@丶梯子:多一个人多一份力量，希望大家能帮忙转发、留意，好人一生平安，邓先生13822658683，跪谢。@创业家杂志@阿狸说到心坎的话@孙雅涵的漫画@简易管理学@创业家杂志@潮音乐@cy-ii@DIY实用手册@教你易经风水术官网@美文故事@几米漫画故事	“多”不是一个命名实体
//@Jao-://@丶梯子:多一个人多一份力量，希望大家能帮忙转发、留意，好人一生平安，邓先生13822658683，跪谢。@创业家杂志@阿狸说到心坎的话@孙雅涵的漫画@简易管理学@创业家杂志@潮音乐@cy-ii@DIY实用手册@教你易经风水术官网@美文故事@几米漫画故事	“帮忙”不是一个命名实体
//@Jao-://@丶梯子:多一个人多一份力量，希望大家能帮忙转发、留意，好人一生平安，邓先生13822658683，跪谢。@创业家杂志@阿狸说到心坎的话@孙雅涵的漫画@简易管理学@创业家杂志@潮音乐@cy-ii@DIY实用手册@教你易经风水术官网@美文故事@几米漫画故事	“13822658683”不是一个命名实体
//@Jao-://@丶梯子:多一个人多一份力量，希望大家能帮忙转发、留意，好人一生平安，邓先生13822658683，跪谢。@创业家杂志@阿狸说到心坎的话@孙雅涵的漫画@简易管理学@创业家杂志@潮音乐@cy-ii@DIY实用手册@教你易经风水术官网@美文故事@几米漫画故事	“@”不是一个命名实体
//@Jao-://@丶梯子:多一个人多一份力量，希望大家能帮忙转发、留意，好人一生平安，邓先生13822658683，跪谢。@创业家杂志@阿狸说到心坎的话@孙雅涵的漫画@简易管理学@创业家杂志@潮音乐@cy-ii@DIY实用手册@教你易经风水术官网@美文故事@几米漫画故事	“教”不是一个命名实体
汗会不会跟内购一样上不去回头再来个已售罄黑线流浪艺术家明天会不会冷场啊，全世界都在观望刘强东搬个板凳坐在国美、苏宁店里，享受着空调暖气，走走路锻炼身体还可以赚钱退休后干什么？到京东做价格情报员	“刘强东”是一个人名实体
汗会不会跟内购一样上不去回头再来个已售罄黑线流浪艺术家明天会不会冷场啊，全世界都在观望刘强东搬个板凳坐在国美、苏宁店里，享受着空调暖气，走走路锻炼身体还可以赚钱退休后干什么？到京东做价格情报员	“国美”是一个组织实体
汗会不会跟内购一样上不去回头再来个已售罄黑线流浪艺术家明天会不会冷场啊，全世界都在观望刘强东搬个板凳坐在国美、苏宁店里，享受着空调暖气，走走路锻炼身体还可以赚钱退休后干什么？到京东做价格情报员	“苏宁”是一个组织实体
汗会不会跟内购一样上不去回头再来个已售罄黑线流浪艺术家明天会不会冷场啊，全世界都在观望刘强东搬个板凳坐在国美、苏宁店里，享受着空调暖气，走走路锻炼身体还可以赚钱退休后干什么？到京东做价格情报员	“京东”是一个组织实体
汗会不会跟内购一样上不去回头再来个已售罄黑线流浪艺术家明天会不会冷场啊，全世界都在观望刘强东搬个板凳坐在国美、苏宁店里，享受着空调暖气，走走路锻炼身体还可以赚钱退休后干什么？到京东做价格情报员	“不”不是一个命名实体
汗会不会跟内购一样上不去回头再来个已售罄黑线流浪艺术家明天会不会冷场啊，全世界都在观望刘强东搬个板凳坐在国美、苏宁店里，享受着空调暖气，走走路锻炼身体还可以赚钱退休后干什么？到京东做价格情报员	“都”不是一个命名实体
汗会不会跟内购一样上不去回头再来个已售罄黑线流浪艺术家明天会不会冷场啊，全世界都在观望刘强东搬个板凳坐在国美、苏宁店里，享受着空调暖气，走走路锻炼身体还可以赚钱退休后干什么？到京东做价格情报员	“空调”不是一个命名实体
汗会不会跟内购一样上不去回头再来个已售罄黑线流浪艺术家明天会不会冷场啊，全世界都在观望刘强东搬个板凳坐在国美、苏宁店里，享受着空调暖气，走走路锻炼身体还可以赚钱退休后干什么？到京东做价格情报员	“到”不是一个命名实体
未成年者禁止进入不是我们减不了肥，而是敌人太过强大。。。	“我们”不是一个命名实体
亲@bittertang@FL727@阿不阿布的小窝#高笑美情人节活动#杨贵妃和唐玄宗的爱情故事原来是这样哦~你不想了解吗？@3位好友分享有机会获得高笑美情人节礼盒！奖品获得者在微博晒出高笑美礼盒后，更有机会获得携程旅行券哦~http://t.cn/8F7dIFd	“bittertang”是一个人名实体
亲@bittertang@FL727@阿不阿布的小窝#高笑美情人节活动#杨贵妃和唐玄宗的爱情故事原来是这样哦~你不想了解吗？@3位好友分享有机会获得高笑美情人节礼盒！奖品获得者在微博晒出高笑美礼盒后，更有机会获得携程旅行券哦~http://t.cn/8F7dIFd	“FL727”是一个人名实体
亲@bittertang@FL727@阿不阿布的小窝#高笑美情人节活动#杨贵妃和唐玄宗的爱情故事原来是这样哦~你不想了解吗？@3位好友分享有机会获得高笑美情人节礼盒！奖品获得者在微博晒出高笑美礼盒后，更有机会获得携程旅行券哦~http://t.cn/8F7dIFd	“阿不阿布的小窝”是一个人名实体
亲@bittertang@FL727@阿不阿布的小窝#高笑美情人节活动#杨贵妃和唐玄宗的爱情故事原来是这样哦~你不想了解吗？@3位好友分享有机会获得高笑美情人节礼盒！奖品获得者在微博晒出高笑美礼盒后，更有机会获得携程旅行券哦~http://t.cn/8F7dIFd	“高笑美情人节活动”是一个人名实体
亲@bittertang@FL727@阿不阿布的小窝#高笑美情人节活动#杨贵妃和唐玄宗的爱情故事原来是这样哦~你不想了解吗？@3位好友分享有机会获得高笑美情人节礼盒！奖品获得者在微博晒出高笑美礼盒后，更有机会获得携程旅行券哦~http://t.cn/8F7dIFd	“杨贵妃”是一个人名实体
亲@bittertang@FL727@阿不阿布的小窝#高笑美情人节活动#杨贵妃和唐玄宗的爱情故事原来是这样哦~你不想了解吗？@3位好友分享有机会获得高笑美情人节礼盒！奖品获得者在微博晒出高笑美礼盒后，更有机会获得携程旅行券哦~http://t.cn/8F7dIFd	“唐玄宗”是一个人名实体
亲@bittertang@FL727@阿不阿布的小窝#高笑美情人节活动#杨贵妃和唐玄宗的爱情故事原来是这样哦~你不想了解吗？@3位好友分享有机会获得高笑美情人节礼盒！奖品获得者在微博晒出高笑美礼盒后，更有机会获得携程旅行券哦~http://t.cn/8F7dIFd	“@”不是一个命名实体
亲@bittertang@FL727@阿不阿布的小窝#高笑美情人节活动#杨贵妃和唐玄宗的爱情故事原来是这样哦~你不想了解吗？@3位好友分享有机会获得高笑美情人节礼盒！奖品获得者在微博晒出高笑美礼盒后，更有机会获得携程旅行券哦~http://t.cn/8F7dIFd	“奖品”不是一个命名实体
亲@bittertang@FL727@阿不阿布的小窝#高笑美情人节活动#杨贵妃和唐玄宗的爱情故事原来是这样哦~你不想了解吗？@3位好友分享有机会获得高笑美情人节礼盒！奖品获得者在微博晒出高笑美礼盒后，更有机会获得携程旅行券哦~http://t.cn/8F7dIFd	“微博”不是一个命名实体
亲@bittertang@FL727@阿不阿布的小窝#高笑美情人节活动#杨贵妃和唐玄宗的爱情故事原来是这样哦~你不想了解吗？@3位好友分享有机会获得高笑美情人节礼盒！奖品获得者在微博晒出高笑美礼盒后，更有机会获得携程旅行券哦~http://t.cn/8F7dIFd	“晒”不是一个命名实体
亲@bittertang@FL727@阿不阿布的小窝#高笑美情人节活动#杨贵妃和唐玄宗的爱情故事原来是这样哦~你不想了解吗？@3位好友分享有机会获得高笑美情人节礼盒！奖品获得者在微博晒出高笑美礼盒后，更有机会获得携程旅行券哦~http://t.cn/8F7dIFd	“美”不是一个命名实体
亲@bittertang@FL727@阿不阿布的小窝#高笑美情人节活动#杨贵妃和唐玄宗的爱情故事原来是这样哦~你不想了解吗？@3位好友分享有机会获得高笑美情人节礼盒！奖品获得者在微博晒出高笑美礼盒后，更有机会获得携程旅行券哦~http://t.cn/8F7dIFd	“8F7dIFd”不是一个命名实体
现在的生活只能用杯具来形容，晚上看不了电视也就算了，连吃个饭都吃的不安稳[抓狂][抓狂]我在:http://t.cn/z8KrMBT	“//”不是一个命名实体
《陆毅曹芙嘉《蒲公英》》2013年侨联春晚http://t.cn/zYimvPe（分享自@土豆网音乐）@mark	“陆毅”是一个人名实体
《陆毅曹芙嘉《蒲公英》》2013年侨联春晚http://t.cn/zYimvPe（分享自@土豆网音乐）@mark	“曹芙嘉”是一个人名实体
《陆毅曹芙嘉《蒲公英》》2013年侨联春晚http://t.cn/zYimvPe（分享自@土豆网音乐）@mark	“土豆网”是一个组织实体
《陆毅曹芙嘉《蒲公英》》2013年侨联春晚http://t.cn/zYimvPe（分享自@土豆网音乐）@mark	“/”不是一个命名实体
《陆毅曹芙嘉《蒲公英》》2013年侨联春晚http://t.cn/zYimvPe（分享自@土豆网音乐）@mark	“自”不是一个命名实体
《陆毅曹芙嘉《蒲公英》》2013年侨联春晚http://t.cn/zYimvPe（分享自@土豆网音乐）@mark	“@”不是一个命名实体
郁花若没去现场的都遭不住了，现场的你们还活着么李宇春演唱会你豆苗妈哈雷很配春拉哄	“郁花若”是一个人名实体
郁花若没去现场的都遭不住了，现场的你们还活着么李宇春演唱会你豆苗妈哈雷很配春拉哄	“李宇春”是一个人名实体
郁花若没去现场的都遭不住了，现场的你们还活着么李宇春演唱会你豆苗妈哈雷很配春拉哄	“哈雷”是一个人名实体
郁花若没去现场的都遭不住了，现场的你们还活着么李宇春演唱会你豆苗妈哈雷很配春拉哄	“没”不是一个命名实体
郁花若没去现场的都遭不住了，现场的你们还活着么李宇春演唱会你豆苗妈哈雷很配春拉哄	“很”不是一个命名实体
郁花若没去现场的都遭不住了，现场的你们还活着么李宇春演唱会你豆苗妈哈雷很配春拉哄	“拉哄”不是一个命名实体
[汽车]全智贤代言韩都衣舍，天猫女装销量第一，http://t.cn/RvHg6Gv	“全智贤”是一个人名实体
[汽车]全智贤代言韩都衣舍，天猫女装销量第一，http://t.cn/RvHg6Gv	“韩都衣舍”是一个组织实体
[汽车]全智贤代言韩都衣舍，天猫女装销量第一，http://t.cn/RvHg6Gv	“天猫”是一个组织实体
[汽车]全智贤代言韩都衣舍，天猫女装销量第一，http://t.cn/RvHg6Gv	“[”不是一个命名实体
[汽车]全智贤代言韩都衣舍，天猫女装销量第一，http://t.cn/RvHg6Gv	“韩”不是一个命名实体
[汽车]全智贤代言韩都衣舍，天猫女装销量第一，http://t.cn/RvHg6Gv	“http”不是一个命名实体
琴是你吗我们爱讲冷笑话都说上海男人是好男人，我信了	“琴”是一个人名实体
琴是你吗我们爱讲冷笑话都说上海男人是好男人，我信了	“上海”是一个地缘政治实体名实体
琴是你吗我们爱讲冷笑话都说上海男人是好男人，我信了	“吗”不是一个命名实体
琴是你吗我们爱讲冷笑话都说上海男人是好男人，我信了	“是”不是一个命名实体
妈妈们节日快乐丫曾若彤爱你爱你爱你	“曾若彤”是一个人名实体
妈妈们节日快乐丫曾若彤爱你爱你爱你	“爱”不是一个命名实体
@打不败的晶晶姑娘人之所以漂是因為沒有歸屬感，感覺不到被他人需求。。。	“晶晶”是一个人名实体
@打不败的晶晶姑娘人之所以漂是因為沒有歸屬感，感覺不到被他人需求。。。	“人”不是一个命名实体
可乐在生活中的六种妙用：1.可以用来清洁烧糊的锅；2.染发之后发现颜色有点重，用可乐洗头可帮你让颜色变浅些；3.能清洁你的首饰，让它们重现光彩。钻石除外；4.能够清除水壶里的残垢；6.把可乐和番茄酱以1比1的比例混合，能够做出美味的烤肉酱。	“除外”不是一个命名实体
#剑网3逐鹿中原#誓师大典今日开启，海量惊喜礼品送出：企鹅萌宠回馈全民，制作人亲笔签名绝密设定集亮相，更有给力新装备新挂件等你来拿！地址：http://t.cn/8FntgAMhttp://t.cn/8swORWnhttp://t.cn/8FntgAM已有3298874人参与@剑网3官方微博@剑网3客户服务	“送”不是一个命名实体
#上海国际车展##东南汽车#车模@张小洁Maggie感觉就像邻家女孩@中国美腿@车模来了点击大图	“上海国际车展”是一个组织实体
#上海国际车展##东南汽车#车模@张小洁Maggie感觉就像邻家女孩@中国美腿@车模来了点击大图	“东南汽车”是一个组织实体
#上海国际车展##东南汽车#车模@张小洁Maggie感觉就像邻家女孩@中国美腿@车模来了点击大图	“张小洁Maggie”是一个人名实体
#上海国际车展##东南汽车#车模@张小洁Maggie感觉就像邻家女孩@中国美腿@车模来了点击大图	“中国美腿”是一个组织实体
#上海国际车展##东南汽车#车模@张小洁Maggie感觉就像邻家女孩@中国美腿@车模来了点击大图	“#”不是一个命名实体
#上海国际车展##东南汽车#车模@张小洁Maggie感觉就像邻家女孩@中国美腿@车模来了点击大图	“张小洁”不是一个命名实体
#上海国际车展##东南汽车#车模@张小洁Maggie感觉就像邻家女孩@中国美腿@车模来了点击大图	“@”不是一个命名实体
